wave,Time_taken_between_wave
1,6.12
2,38.25                    
3,48.06                    
1,12.03
2,22.89                    
3,24.24                    
1,5.96
2,35.71                    
3,48.68                    
1,10.89
2,26.11                    
3,22.94                    
1,6.43
2,34.89                    
3,48.01                    
1,11.22
2,24.56                    
3,25.12
1,6.87
2,39.56                    
3,47.18                    
1,11.35
2,23.97                    
3,25.11                    
1,6.10
2,37.42                    
3,48.21                    
1,10.78
2,25.64                    
3,24.53                    
1,31.03
2,19.95
3,24.45                    
1,23.69
2,7.02
3,38.89                    
1,45.79                    
2,12.67
3,22.15                    
1,27.04                    
2,5.81
3,36.92                    
1,48.33                    
2,11.08
3,24.72                    
1,23.76                    
2,6.37
3,35.47                    
1,47.68                    
2,10.92
3,25.91                    
1,22.78       
2,13.05
3,29.08
